EvID,PaperID,Vote
93,226,Worthwhile
93,282,Essential
93,322,Essential
93,375,Essential
93,420,Essential
94,8,Essential
94,53,Essential
94,64,Unimportant
94,71,Worthwhile
94,122,Worthwhile
94,126,Essential
94,174,Worthwhile
94,205,Worthwhile
94,218,Worthwhile
94,241,Unimportant
94,243,Worthwhile
94,273,Worthwhile
94,338,Worthwhile
94,408,Essential
94,420,Essential
95,73,Worthwhile
95,75,Worthwhile
95,97,Worthwhile
95,115,Unimportant
95,158,Unimportant
95,193,Unimportant
95,196,Unimportant
95,292,Essential
95,305,Unimportant
95,311,Unimportant
95,351,Unimportant
95,394,Unimportant
96,1,Worthwhile
96,86,Essential
96,90,Essential
96,185,Worthwhile
96,213,Worthwhile
96,264,Worthwhile
96,302,Worthwhile
97,10,Essential
97,39,Worthwhile
97,44,Worthwhile
97,49,Essential
97,50,Worthwhile
97,61,Worthwhile
97,77,Essential
97,198,Worthwhile
97,222,Unimportant
97,245,Unimportant
97,258,Worthwhile
97,285,Worthwhile
97,322,Unimportant
97,345,Essential
97,424,Essential
98,1,Worthwhile
98,22,Worthwhile
98,57,Unimportant
98,64,Essential
98,100,Essential
98,130,Worthwhile
98,163,Worthwhile
98,168,Worthwhile
98,184,Worthwhile
98,198,Essential
98,239,Worthwhile
98,335,Worthwhile
98,340,Worthwhile
98,354,Worthwhile
98,371,Essential
99,11,Essential
99,14,Worthwhile
99,39,Unimportant
99,61,Worthwhile
99,103,Unwise
99,142,Worthwhile
99,154,Worthwhile
99,241,Worthwhile
99,243,Worthwhile
99,255,Unimportant
99,294,Unimportant
99,307,Unimportant
99,352,Unimportant
99,356,Worthwhile
99,387,Worthwhile
100,29,Unimportant
100,53,Worthwhile
100,102,Unimportant
100,133,Worthwhile
100,177,Essential
100,187,Essential
